epoch,accuracy,loss,val_accuracy,val_loss

0,0.17523810267448425,2.8257362842559814,0.4266666769981384,1.9914442300796509

1,0.4776190519332886,1.6655675172805786,0.5390123724937439,1.3994343280792236

2,0.6343386173248291,1.1543445587158203,0.67580246925354,1.0070427656173706

3,0.712486743927002,0.9133325219154358,0.7214815020561218,0.8260543346405029

4,0.7651322484016418,0.7318132519721985,0.7728394865989685,0.6740642189979553

5,0.8024338483810425,0.6159218549728394,0.8009876608848572,0.5994453430175781

6,0.8295238018035889,0.5390992760658264,0.8128395080566406,0.5648183822631836

7,0.8521693348884583,0.4747600853443146,0.831358015537262,0.4877343773841858

8,0.866772472858429,0.4290764629840851,0.8600000143051147,0.436837375164032

9,0.8803703784942627,0.3809340000152588,0.8716049194335938,0.39634692668914795

10,0.8919047713279724,0.3531439006328583,0.8629629611968994,0.3923325836658478

11,0.8996825218200684,0.33137816190719604,0.8787654042243958,0.35410621762275696

12,0.9053968191146851,0.3044784665107727,0.8837037086486816,0.339884489774704

13,0.9131746292114258,0.2826392352581024,0.878024697303772,0.3423331379890442

14,0.9222221970558167,0.24830231070518494,0.8943209648132324,0.3136213719844818

15,0.925767183303833,0.24627402424812317,0.9123457074165344,0.26496362686157227

16,0.9292592406272888,0.23154503107070923,0.9135802388191223,0.275535523891449

17,0.9289947152137756,0.2286389321088791,0.9032098650932312,0.29489558935165405

18,0.9361375570297241,0.21037578582763672,0.924691379070282,0.2408335655927658

19,0.9413756728172302,0.1928938627243042,0.9130864143371582,0.28088366985321045

20,0.940423309803009,0.19424045085906982,0.9204938411712646,0.239386186003685

21,0.9466666579246521,0.17988407611846924,0.9355555772781372,0.21766653656959534

22,0.9459788203239441,0.18043412268161774,0.9392592310905457,0.1947362869977951

23,0.948888897895813,0.1704566925764084,0.9385185241699219,0.17951306700706482

24,0.9496825337409973,0.16717003285884857,0.9397531151771545,0.18413081765174866

25,0.9543915390968323,0.15332169830799103,0.9316049218177795,0.21578536927700043

26,0.9518518447875977,0.15983617305755615,0.9399999976158142,0.18399159610271454

27,0.9579365253448486,0.1416850984096527,0.9330863952636719,0.1840914487838745

28,0.9619576930999756,0.13629032671451569,0.9407407641410828,0.17342081665992737

