epoch,accuracy,loss,val_accuracy,val_loss
0,0.1780952364206314,2.850738048553467,0.3834567964076996,2.097801923751831
1,0.48021164536476135,1.6685869693756104,0.621975302696228,1.2087980508804321
2,0.6404232978820801,1.1530858278274536,0.6701234579086304,0.9604023098945618
3,0.7225925922393799,0.8759176731109619,0.7575308680534363,0.7297574877738953
4,0.7759259343147278,0.7126940488815308,0.7819753289222717,0.6583376526832581
5,0.8175661563873291,0.5887760519981384,0.8222222328186035,0.5347689390182495
6,0.8347089886665344,0.5290805697441101,0.7896296381950378,0.5987934470176697
7,0.8615872859954834,0.4493768513202667,0.8409876823425293,0.47537845373153687
8,0.8737565875053406,0.40889185667037964,0.8686419725418091,0.38659361004829407
9,0.8821163773536682,0.3815917372703552,0.8787654042243958,0.3740190267562866
10,0.894444465637207,0.3361072540283203,0.8775308728218079,0.3589615225791931
11,0.9058201313018799,0.3109087347984314,0.9019753336906433,0.3091549575328827
12,0.9100528955459595,0.29549381136894226,0.8844444155693054,0.3356436491012573
13,0.9130687713623047,0.28399014472961426,0.9096296429634094,0.27283158898353577
14,0.9213756322860718,0.25084999203681946,0.9140740633010864,0.2793138027191162
15,0.9290476441383362,0.23511426150798798,0.9237037301063538,0.24537228047847748
16,0.929894208908081,0.23076902329921722,0.9083950519561768,0.2801339030265808
17,0.9350793361663818,0.20990775525569916,0.9204938411712646,0.24482083320617676
18,0.9363492131233215,0.20633091032505035,0.9170370101928711,0.24666465818881989
19,0.9417460560798645,0.1973057985305786,0.9271605014801025,0.21583326160907745
20,0.9473015666007996,0.1785203218460083,0.9385185241699219,0.18829062581062317
21,0.9503703713417053,0.17047850787639618,0.9343209862709045,0.20252150297164917
22,0.9491534233093262,0.167416512966156,0.9358024597167969,0.19744545221328735
23,0.9534391760826111,0.1659069061279297,0.9402469396591187,0.17909397184848785
24,0.9557142853736877,0.1502230018377304,0.948888897895813,0.1643396019935608
25,0.9563491940498352,0.1410992592573166,0.9444444179534912,0.18276891112327576
26,0.9568783044815063,0.14423848688602448,0.9402469396591187,0.1794159710407257
27,0.9586243629455566,0.1336173713207245,0.9446913599967957,0.17122244834899902
28,0.9613227248191833,0.13176488876342773,0.946172833442688,0.1671525537967682
29,0.963280439376831,0.1257137954235077,0.9367901086807251,0.20332209765911102
