epoch,accuracy,loss,val_accuracy,val_loss
0,0.033261802047491074,3.333749294281006,0.03768844157457352,3.2946574687957764
1,0.03996781259775162,3.288188934326172,0.12060301750898361,3.137765645980835
2,0.14431330561637878,2.9236950874328613,0.2525125741958618,2.515148401260376
3,0.27333691716194153,2.380354642868042,0.4070351719856262,1.9042277336120605
4,0.44420599937438965,1.6929031610488892,0.5716080665588379,1.2369214296340942
5,0.5694742202758789,1.2530003786087036,0.7374371886253357,0.8965742588043213
6,0.6317059993743896,1.027440071105957,0.7487437129020691,0.7145915031433105
7,0.7129828333854675,0.8254115581512451,0.8153266310691833,0.5472115278244019
8,0.7440987229347229,0.7251031398773193,0.840452253818512,0.5118475556373596
9,0.778969943523407,0.625725269317627,0.8366833925247192,0.48165929317474365
10,0.808208167552948,0.5330326557159424,0.873115599155426,0.37840649485588074
11,0.8189377784729004,0.5150697827339172,0.8819095492362976,0.35887521505355835
12,0.8422746658325195,0.47300711274147034,0.910804033279419,0.31062760949134827
13,0.8409335017204285,0.44773054122924805,0.910804033279419,0.28137633204460144
14,0.8602467775344849,0.410552054643631,0.8869346976280212,0.3179788887500763
